community_unit,predictor,response_type,analysis_method,optimizer_used,retried_with_bfgs,fit_converged,critical_warning,stable_for_inference,warnings,primary_warnings,error_message,primary_error
Coral_octocoral_massivesoft,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_octocoral_massivesoft,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_octocoral_massivesoft,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_octocoral_massivesoft,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_octocoral_massivesoft,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_octocoral_massivesoft,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_brittlestar,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/bfgs,TRUE,TRUE,FALSE,TRUE,NA,Fitting terminated with step failure - check results carefully,NA,NA
Echinoderm_brittlestar,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Mollusc_bivalvia_burrowingclam,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Mollusc_bivalvia_burrowingclam,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_hydrocoral_branching,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_hydrocoral_branching,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Worm_annelida_tube,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Worm_annelida_tube,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Sponge_true_demospongiae_crust_encrusting,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Sponge_true_demospongiae_crust_encrusting,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_unstalked_solitary,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_unstalked_solitary,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Macroalgae_encrusting_red_calcareous,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/bfgs,TRUE,TRUE,FALSE,TRUE,NA,Fitting terminated with step failure - check results carefully,NA,NA
Macroalgae_encrusting_red_calcareous,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_crinoid_unstalked,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/bfgs,TRUE,TRUE,FALSE,TRUE,NA,Fitting terminated with step failure - check results carefully,NA,NA
Echinoderm_crinoid_unstalked,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Anemone_true_other,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/bfgs,TRUE,TRUE,FALSE,TRUE,NA,Fitting terminated with step failure - check results carefully,NA,NA
Anemone_true_other,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Bryozoan_hard_branching,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/bfgs,TRUE,TRUE,FALSE,TRUE,NA,Fitting terminated with step failure - check results carefully,NA,NA
Bryozoan_hard_branching,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_stalked_solitary,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/bfgs,TRUE,TRUE,FALSE,TRUE,NA,Fitting terminated with step failure - check results carefully,NA,NA
Tunicate_ascidian_stalked_solitary,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_octocoral_massivesoft,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,outer/bfgs,TRUE,TRUE,FALSE,TRUE,NA,Fitting terminated with step failure - check results carefully,NA,NA
Coral_octocoral_massivesoft,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
